date,rate
2/28/2020,23241
2/27/2020,23241.5
2/26/2020,23241
2/24/2020,23248.5
2/21/2020,23228
2/20/2020,23243.5
2/19/2020,23229.5
2/18/2020,23246
2/17/2020,23240
2/16/2020,23255
2/14/2020,23261.5
2/13/2020,23232.5
2/12/2020,23222
2/11/2020,23221
2/10/2020,23240
2/9/2020,23260
2/8/2020,23223
2/7/2020,23183
2/6/2020,23170.5
2/3/2020,23170.5
2/2/2020,23170.5
2/1/2020,23170.5
1/31/2020,23171
1/30/2020,23170
1/29/2020,23174
1/28/2020,23172
1/25/2020,23174
1/24/2020,23177
1/23/2020,23174
1/22/2020,23176
1/21/2020,23176
1/20/2020,23177
1/19/2020,23172
1/17/2020,23172.5
